,Fish,Length (cm),Camera
0,Hogfish01,31.849856999999997,Stereo Video
1,Hogfish01,34.985879,Stereo Video
2,Hogfish01,25.245171,Stereo Video
3,Hogfish01,32.734892,Stereo Video
4,BlueParrot02,29.289314,Stereo Video
5,BlueParrot02,22.931745,Stereo Video
6,BlueParrot02,31.722066,Stereo Video
7,Stoplight03,31.350031,Stereo Video
8,Stoplight03,30.201245,Stereo Video
9,Stoplight03,23.694414000000002,Stereo Video
10,Hogfish01,29.3527449,FishSense Lite
11,Hogfish01,28.5496402,FishSense Lite
12,Hogfish01,28.5589362,FishSense Lite
13,Hogfish01,27.733578599999998,FishSense Lite
14,Hogfish01,35.1520137,FishSense Lite
15,Hogfish01,34.61251,FishSense Lite
16,Hogfish01,35.0925869,FishSense Lite
17,Hogfish01,31.049519399999998,FishSense Lite
18,Hogfish01,28.756785299999997,FishSense Lite
19,Hogfish01,32.8028604,FishSense Lite
20,Hogfish01,34.495073999999995,FishSense Lite
21,Hogfish01,33.808160799999996,FishSense Lite
22,Hogfish01,34.4317814,FishSense Lite
23,Hogfish01,32.4910829,FishSense Lite
24,Hogfish01,32.6368687,FishSense Lite
25,BlueParrot02,26.8325994,FishSense Lite
26,BlueParrot02,25.7153243,FishSense Lite
27,BlueParrot02,27.236308799999996,FishSense Lite
28,Stoplight03,25.1485733,FishSense Lite
29,Stoplight03,25.728947899999998,FishSense Lite
30,Stoplight03,29.8114573,FishSense Lite
31,Stoplight03,29.7421607,FishSense Lite
32,Stoplight03,25.606323399999997,FishSense Lite
33,Stoplight03,26.3782837,FishSense Lite
34,Stoplight03,26.9814179,FishSense Lite
35,Stoplight03,27.4678775,FishSense Lite
36,Stoplight03,28.297950399999998,FishSense Lite
37,Stoplight03,29.332514500000002,FishSense Lite
38,Stoplight03,21.1125476,FishSense Lite
39,Stoplight03,20.0274094,FishSense Lite
